num,id,name,year,rank,average,bayes_average,users_rated,url,thumbnail
177,224037,Codenames: Duet,2017,178,7.53,7.331,16699,/boardgame/224037/codenames-duet,https://cf.geekdo-images.com/0d1EaMVmAiIBROI2QstFSQ__micro/img/adCgMexDsSnafr71XQ9K72pcEGE=/fit-in/64x64/filters:strip_icc()/pic3596681.jpg
394,92415,Skull,2011,395,7.2,7.015,16516,/boardgame/92415/skull,https://cf.geekdo-images.com/4E9rSeKJDXiBbKmyMNtM7Q__micro/img/m8cMkMquJYrPOVlV27sperGE1gc=/fit-in/64x64/filters:strip_icc()/pic1779342.jpg
9239,258,Fluxx,1997,9240,5.67,5.565,16504,/boardgame/258/fluxx,https://cf.geekdo-images.com/ZBQHRlhd32wt4F_zgeic6w__micro/img/fA7ekwcn6UHWSGcklOmS-CL3DrE=/fit-in/64x64/filters:strip_icc()/pic2405641.jpg
436,127398,Legends of Andor,2012,437,7.18,6.965,16283,/boardgame/127398/legends-andor,https://cf.geekdo-images.com/IO8_BYKeofnWy8DIjo2RRg__micro/img/dZMgKBaYL9S5o4eQ0PZOBiGuRpI=/fit-in/64x64/filters:strip_icc()/pic2606106.jpg
243,760,Battle Line,2000,244,7.41,7.208,16169,/boardgame/760/battle-line,https://cf.geekdo-images.com/RnbZfspkPRfr6EMkRkac2Q__micro/img/xcQBKg35PuCpIjh9oWxtoMYTdVM=/fit-in/64x64/filters:strip_icc()/pic149717.jpg
571,21763,Mr. Jack,2006,572,7,6.831,16104,/boardgame/21763/mr-jack,https://cf.geekdo-images.com/CDdF4xOQJsNK0gX8-tBdCQ__micro/img/hftnDB3c-k9smDcycG4EanwO6ng=/fit-in/64x64/filters:strip_icc()/pic3066125.jpg
463,9674,Ingenious,2004,464,7.12,6.941,16052,/boardgame/9674/ingenious,https://cf.geekdo-images.com/k_dMkjiVuLX8syS0Gt-OGw__micro/img/PKrNotUlFRieA3CSDkUgfOPDzHY=/fit-in/64x64/filters:strip_icc()/pic3958804.jpg
4,233078,Twilight Imperium: Fourth Edition,2017,5,8.68,8.262,16025,/boardgame/233078/twilight-imperium-fourth-edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__micro/img/2gymaKs35_2yj7eyyA6cYyVmd9c=/fit-in/64x64/filters:strip_icc()/pic3727516.jpg
586,113294,Escape: The Curse of the Temple,2012,587,6.99,6.82,15960,/boardgame/113294/escape-curse-temple,https://cf.geekdo-images.com/m6269wyfWVa7gZp3oXKx6A__micro/img/hbO1IuakjbpWFFjVnfmNfzj5WM0=/fit-in/64x64/filters:strip_icc()/pic3328521.jpg
5,291457,Gloomhaven: Jaws of the Lion,2020,6,8.68,8.26,15918,/boardgame/291457/gloomhaven-jaws-lion,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__micro/img/OdKjWiFsNvQAfJfXXSITttiozWE=/fit-in/64x64/filters:strip_icc()/pic5055631.jpg
